model,N,topk,mode,n_runs,n_label_sets,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,labelset_sd,frac_gap_le_5pct,mean_n_total,mean_n_repair,label_evals
knn,50,1,scale,426,3,0.9929577464788732,0.014194450204661533,-0.0013267468388192,0.041506009596959305,1.0655170909176075,0.0028183161339198903,0.9178403755868545,21.927230046948356,18.0,240000.0
knn,50,2,scale,426,3,1.0,0.022083028675589048,-0.0012010217633766501,0.04082038797094415,1.0655170909176075,0.0015837024940985563,0.92018779342723,26.145539906103288,18.023474178403756,240000.0
knn,50,3,scale,426,3,1.0,0.021659552230393404,-0.0012010217633766501,0.03573950186152385,1.0655170909176075,0.004773988286719375,0.9248826291079812,30.070422535211268,18.018779342723004,240000.0
mlp,50,1,scale,426,3,0.9929577464788732,0.07859983686320227,0.0303497425818808,0.22559551185600119,1.0683235818440275,0.010378191905532548,0.6173708920187794,21.854460093896712,17.974178403755868,240000.0
mlp,50,2,scale,426,3,1.0,0.08237392963610796,0.02857659055766265,0.2251286212588974,1.0683235818440275,0.008556199040152654,0.6314553990610329,25.845070422535212,18.016431924882628,240000.0
mlp,50,3,scale,426,3,1.0,0.08273283015045163,0.02857659055766265,0.2251286212588974,1.0683235818440275,0.005817990389287273,0.6314553990610329,29.62676056338028,18.014084507042252,240000.0
poly3,50,1,scale,426,3,0.9929577464788732,0.09978165925287656,0.0462869543217303,0.23724598665874486,1.026541873477024,0.007963580445316738,0.5187793427230047,21.971830985915492,18.004694835680752,240000.0
poly3,50,2,scale,426,3,1.0,0.10949402694778668,0.04596130563786665,0.24607252235103405,1.0999551486966594,0.011519596270176178,0.5234741784037559,25.953051643192488,18.018779342723004,240000.0
poly3,50,3,scale,426,3,1.0,0.11181021252808504,0.0446805609196461,0.24607252235103405,1.114579043274174,0.014266643679640556,0.528169014084507,29.774647887323944,18.014084507042252,240000.0
gp,100,1,scale,426,3,0.9929577464788732,0.04728382435835739,0.0214003127260353,0.15565941946241196,0.7036085758118353,0.0207569024592946,0.7206572769953051,22.572769953051644,18.028169014084508,480000.0
gp,100,2,scale,426,3,1.0,0.050663357196982825,0.020470641941189548,0.17689831276529416,0.8927272467724188,0.016915564939722544,0.7300469483568075,27.612676056338028,18.06338028169014,480000.0
