reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals
PPO (5 seeds),poly3,50,2,scale+thin,0.07282390122263416,0.09048149163428103,-0.017657590411646877,-0.027580157665884786,-0.006952317814226788,0.704225352112676,72.4319248826291,112.62535211267605
PPO (5 seeds),poly3,50,3,none,0.11389493752280525,0.4334410649437438,-0.31954612742093863,-0.35834121288443505,-0.28271774803527006,0.9788732394366197,11.76056338028169,39.91267605633803
PPO (5 seeds),poly3,50,3,scale,0.11181021252808504,0.1949954392653361,-0.08318522673725108,-0.10324914114003103,-0.062372333935136616,0.7535211267605634,29.774647887323944,56.91267605633803
PPO (5 seeds),poly3,50,3,scale+thin,0.07455389622786435,0.09048149163428103,-0.015927595406416688,-0.02776795757687655,-0.0031775294184373678,0.704225352112676,76.23474178403755,112.62535211267605
PPO (5 seeds),poly3,100,1,none,0.0935010115653292,0.42807439742912345,-0.3345733858637943,-0.3719102540571659,-0.30012865006019984,1.0,3.868544600938967,39.91267605633803
PPO (5 seeds),poly3,100,1,scale,0.09150198182881195,0.1949954392653361,-0.10349345743652419,-0.1251122227137826,-0.08316736643370523,0.7816901408450704,21.856807511737088,56.91267605633803
PPO (5 seeds),poly3,100,1,scale+thin,0.05706465368830291,0.09048149163428103,-0.033416837945978134,-0.04880977373861597,-0.02052557152509269,0.6690140845070423,66.46948356807512,112.62535211267605
PPO (5 seeds),poly3,100,2,none,0.09775954561620018,0.43124232324465417,-0.33348277762845396,-0.37217653717235705,-0.29723667951321603,0.9929078014184397,8.0962441314554,39.91267605633803
PPO (5 seeds),poly3,100,2,scale,0.09226997253700024,0.1949954392653361,-0.10272546672833589,-0.12191333014380297,-0.08399119525453697,0.7816901408450704,26.12676056338028,56.91267605633803
PPO (5 seeds),poly3,100,2,scale+thin,0.05741980877047597,0.09048149163428103,-0.03306168286380506,-0.04511500684766945,-0.023160911250351947,0.7183098591549296,71.43427230046949,112.62535211267605
PPO (5 seeds),poly3,100,3,none,0.09415564842079487,0.43124232324465417,-0.33708667482385923,-0.3740528193361852,-0.3015219884580084,0.9929078014184397,11.666666666666666,39.91267605633803
PPO (5 seeds),poly3,100,3,scale,0.09332136774718446,0.1949954392653361,-0.10167407151815168,-0.12068954771087004,-0.08323648934677916,0.7816901408450704,29.685446009389672,56.91267605633803
PPO (5 seeds),poly3,100,3,scale+thin,0.05852968936546222,0.09048149163428103,-0.03195180226881881,-0.04308155885184852,-0.021992919265945623,0.7183098591549296,74.93661971830986,112.62535211267605
PPO (5 seeds),poly3,208,1,none,0.10072728796990846,0.43189761835629414,-0.33117033038638566,-0.36981294987965957,-0.2938986840692014,1.0,3.931924882629108,39.91267605633803
PPO (5 seeds),poly3,208,1,scale,0.09590193743074574,0.1949954392653361,-0.09909350183459038,-0.12105333747934356,-0.07724955533239243,0.7394366197183099,21.96713615023474,56.91267605633803
