label_set,N,model,topk,context_idx,span_m,load_kNm,gt_economy,mode,feasible,gap,n_dec,n_repair,n_total
0,50,knn,1,17,6.818181818181818,74.54545454545453,645.0378754655677,none,1,0.008893748693183712,3,0,3
0,50,knn,1,17,6.818181818181818,74.54545454545453,645.0378754655677,scale,1,0.007416418203778363,3,18,21
0,50,knn,1,17,6.818181818181818,74.54545454545453,645.0378754655677,scale+thin,1,0.007416418203778363,3,55,58
0,50,knn,2,17,6.818181818181818,74.54545454545453,645.0378754655677,none,1,0.008893748693183712,6,0,6
0,50,knn,2,17,6.818181818181818,74.54545454545453,645.0378754655677,scale,1,0.007416418203778363,6,18,24
0,50,knn,2,17,6.818181818181818,74.54545454545453,645.0378754655677,scale+thin,1,0.007416418203778363,6,55,61
0,50,knn,3,17,6.818181818181818,74.54545454545453,645.0378754655677,none,1,0.008893748693183712,9,0,9
0,50,knn,3,17,6.818181818181818,74.54545454545453,645.0378754655677,scale,1,0.007416418203778363,9,18,27
0,50,knn,3,17,6.818181818181818,74.54545454545453,645.0378754655677,scale+thin,1,0.007416418203778363,9,55,64
0,50,knn,1,18,6.818181818181818,85.45454545454545,698.212152166206,none,1,0.006417810617845632,3,0,3
0,50,knn,1,18,6.818181818181818,85.45454545454545,698.212152166206,scale,1,0.004921087590237905,3,18,21
0,50,knn,1,18,6.818181818181818,85.45454545454545,698.212152166206,scale+thin,1,0.004921087590237905,3,55,58
0,50,knn,2,18,6.818181818181818,85.45454545454545,698.212152166206,none,1,0.006417810617845632,6,0,6
0,50,knn,2,18,6.818181818181818,85.45454545454545,698.212152166206,scale,1,0.004921087590237905,6,18,24
0,50,knn,2,18,6.818181818181818,85.45454545454545,698.212152166206,scale+thin,1,0.004921087590237905,6,55,61
0,50,knn,3,18,6.818181818181818,85.45454545454545,698.212152166206,none,1,0.006417810617845632,9,0,9
