context_idx,span_m,load_kNm,gt_economy,method,space,budget,seed,feasible,best_economy,gap,n_evals,n_direct,n_sizing,n_feasible_evals,n_at_best,wall_s,hp,h,b,tf,tw,fy,section_type
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,4800,3,1,663.0706283596659,0.008477810551206222,4800,1048,3752,2965,4171,1.8718296010001723,"{""start_evals"": 25}",554.3399860484795,200.1529807250304,11.742687326738604,8.807015495053953,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,4800,4,1,668.9423375222688,0.01740821426271455,4800,1036,3764,3060,4750,1.9938607330000195,"{""start_evals"": 25}",468.22128196318675,228.16063474900196,13.600516413525902,7.375476336543371,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,25,0,1,1703.5292362532532,1.5909327919359737,25,25,0,5,1,0.015702361999956338,"{""start_evals"": 25}",632.8984915813535,210.1366238353874,34.35566182885601,10.322132673293757,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,25,1,0,,,25,25,0,0,-1,0.016635284000130923,"{""start_evals"": 25}",,,,,,
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,25,2,1,1589.7574744031763,1.41789497004216,25,25,0,21,25,0.012242067999977735,"{""start_evals"": 25}",489.1195507331636,243.33456528923318,13.66290335981568,11.2826315404725,620.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,25,3,0,,,25,25,0,0,-1,0.012418825000167999,"{""start_evals"": 25}",,,,,,
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,25,4,0,,,25,25,0,0,-1,0.01232805500012546,"{""start_evals"": 25}",,,,,,
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,50,0,1,2158.4753494376587,2.2828697297520826,50,50,0,10,36,0.023717341000065062,"{""start_evals"": 25}",537.3694223980344,216.2287097032109,26.0194641339201,19.68744424625538,500.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,50,1,1,1285.7925704781067,0.9555884710299822,50,50,0,25,44,0.023729901000024256,"{""start_evals"": 25}",550.9184343992022,222.96859650591398,10.453596801808837,18.129268052591648,460.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,50,2,1,1692.3982710748226,1.5740034771505558,50,50,0,10,26,0.024423895999916567,"{""start_evals"": 25}",448.5296707398445,179.81325644900846,32.57636660894441,18.435511687215502,460.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,50,3,1,2132.5538633786073,2.2434452063468835,50,50,0,21,50,0.026832140999886178,"{""start_evals"": 25}",405.9172527319606,155.7384856229097,22.3777261574789,15.095760514009894,690.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,50,4,1,1530.3121416681042,1.327483335986737,50,50,0,5,26,0.024812026000290643,"{""start_evals"": 25}",700.8637037288629,147.106995327061,18.676924701876366,13.951352287221425,500.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,100,0,1,1390.3904480532974,1.1146735428967367,100,100,0,20,82,0.051330987000255845,"{""start_evals"": 25}",479.57708042305126,171.9943437581362,12.345293946387153,15.244649521636667,550.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,100,1,1,914.508004793168,0.3908941083499615,100,100,0,51,92,0.06197595700041347,"{""start_evals"": 25}",485.01571978258687,175.30409324541154,18.24251765501355,14.570455960035234,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,100,2,1,1216.00536688894,0.8494476720411921,100,100,0,15,26,0.07274297100002514,"{""start_evals"": 25}",463.5737064256298,187.65914557857272,28.595387219326028,9.18155404428188,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,100,3,1,994.1004393498805,0.5119478855874817,100,100,0,44,60,0.0540525449996494,"{""start_evals"": 25}",530.8487088947589,186.01694969303546,17.48502838154229,9.131258751541255,460.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,100,4,1,1456.5269384791372,1.2152618968511115,100,100,0,10,26,0.07490967500007173,"{""start_evals"": 25}",369.8416086421911,177.66546656447855,32.62181821996897,22.28172404058755,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,400,0,1,1106.659906421175,0.683141903319326,400,400,0,138,335,0.26731167799971445,"{""start_evals"": 25}",460.45064531381536,179.33396117688216,16.48072932812552,7.179103388212396,550.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,400,1,1,871.5795550040722,0.32560334262751733,400,400,0,113,210,0.2102564359997814,"{""start_evals"": 25}",519.7047885772299,182.13879392308087,13.62790925410092,6.9804048788757544,500.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,400,2,1,943.1258739635531,0.4344196165073462,400,400,0,160,76,0.20601727800021763,"{""start_evals"": 25}",599.4360588931438,210.4547106097549,18.162900244362504,10.106364469020019,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,400,3,1,858.4032664135411,0.30556325323034095,400,400,0,187,320,0.17706827799975144,"{""start_evals"": 25}",618.1271596919449,203.8748388309458,11.423430808374716,7.417377819830609,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,400,4,1,888.9729868037106,0.3520573722120648,400,400,0,190,31,0.22532696500002203,"{""start_evals"": 25}",570.8235266194495,150.71398879779417,18.14169960695903,10.754435194807987,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,1600,0,1,861.9527393735722,0.31096171994903443,1600,1600,0,687,1000,0.7440857399997185,"{""start_evals"": 25}",418.9325989594392,216.7834774607918,12.461596605810005,17.22090166617334,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,1600,1,1,970.7747344305941,0.4764713393185589,1600,1600,0,621,44,0.9197291820000828,"{""start_evals"": 25}",605.5976702873534,181.31122170073454,10.994182194617267,14.157644624004876,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,1600,2,1,930.6413667592068,0.4154316717051514,1600,1600,0,597,365,0.9572346340000877,"{""start_evals"": 25}",685.0663729883613,215.45492550916396,15.356983897091068,6.8035243785373,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,1600,3,1,696.5606697358187,0.05941350602280848,1600,1600,0,581,474,1.3064420300001984,"{""start_evals"": 25}",542.3929240143868,195.097853772112,13.859853808423798,8.62957474497018,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,1600,4,1,806.7389408586403,0.2269859136668253,1600,1600,0,605,126,1.4909397530000206,"{""start_evals"": 25}",492.06503518961335,164.63029121355632,19.39002891401758,11.081396555794143,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,4800,0,1,674.2984003174352,0.025554360766302686,4800,4800,0,1100,2185,3.3287954620000164,"{""start_evals"": 25}",478.7111591740873,223.9606104766136,13.135819524207614,8.069282923229911,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,4800,1,1,876.4707192649372,0.33304241535050316,4800,4800,0,1222,226,2.3563072579995605,"{""start_evals"": 25}",629.7395530065813,192.19749066254508,14.094183254348335,11.596164821668186,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,4800,2,1,838.2503887490057,0.27491232544951805,4800,4800,0,1362,4171,2.4151231790001475,"{""start_evals"": 25}",543.7724643876459,187.5665639913261,14.534243137330636,6.621334449865952,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,4800,3,1,715.9387811160532,0.08888607576353302,4800,4800,0,1429,1491,2.3320744160000686,"{""start_evals"": 25}",478.3738809982508,190.52595790777724,13.82210027029394,8.357123022585784,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,raw,4800,4,1,694.6106440917899,0.05644767175433274,4800,4800,0,1221,4641,2.7675398510000377,"{""start_evals"": 25}",430.665624241277,207.7085051745682,13.853777819625858,7.468586068861331,460.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,25,0,1,1556.8771284261315,1.2308683578191228,25,25,0,22,18,0.011782558000049903,"{""pop_mult"": 1.0}",663.9232607616875,182.09755434445293,29.5822352861844,9.396274593703925,460.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,25,1,1,991.2719238718452,0.42040571383800707,25,25,0,21,19,0.010603867000099854,"{""pop_mult"": 1.0}",392.64722980385307,206.25040336370057,16.23549434977093,20.322192151294296,355.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,25,2,1,1002.9706547271304,0.4371689689563356,25,25,0,21,25,0.008702107000317483,"{""pop_mult"": 1.0}",509.98113112069,263.71747958420974,14.570904780475253,6.0647936427365785,460.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,25,3,1,1491.8594269809892,1.1377036949155528,25,25,0,21,21,0.008046560999900976,"{""pop_mult"": 1.0}",601.857138032888,177.0140286110107,11.705225127922182,11.249102670610025,620.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,25,4,1,1206.2529405315638,0.7284546528591491,25,25,0,19,21,0.0120816300000115,"{""pop_mult"": 1.0}",419.8278414585528,206.1623707564704,18.010785816190555,12.462331399521926,500.0,welded
11,6.0,140.0,697.879425726456,ga,raw,50,0,1,1206.327133259611,0.7285609645303519,50,50,0,46,49,0.029397459999927378,"{""pop_mult"": 1.0}",648.9781046582423,259.1207308486759,20.078677988806927,10.92609438610527,355.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,50,1,1,924.0794395757554,0.32412477787812266,50,50,0,36,43,0.02444105299991861,"{""pop_mult"": 1.0}",429.7830162679156,188.36755839012477,23.065040387751832,6.0,355.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,50,2,1,927.795722571521,0.32944988542359455,50,50,0,34,48,0.024040124000293872,"{""pop_mult"": 1.0}",678.6888903217027,141.62115603254028,16.89964765008102,9.689776139230945,355.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,50,3,1,1146.1710583900433,0.6423625860540867,50,50,0,44,26,0.03217764200007878,"{""pop_mult"": 1.0}",502.13770752763367,195.2277809447296,19.65385612743207,14.667307848023947,460.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,50,4,1,993.8996003315438,0.42417094370842956,50,50,0,45,35,0.029049582999959966,"{""pop_mult"": 1.0}",522.3008536705704,191.4428415273505,16.92023952602888,9.319636410257557,460.0,welded
11,6.0,140.0,697.879425726456,ga,raw,100,0,1,869.4307432079129,0.24581798969482582,100,100,0,72,91,0.05523672599974816,"{""pop_mult"": 1.0}",496.1101943437268,143.02584986685133,21.159781122288003,10.8369731512572,460.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,100,1,1,897.655809235523,0.28626203344669476,100,100,0,83,100,0.0892582780002158,"{""pop_mult"": 1.0}",345.08365589279174,254.38605248689805,18.847875398486778,10.097036657605507,355.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,100,2,1,896.2933328033828,0.28430972423407996,100,100,0,81,87,0.03600873999994292,"{""pop_mult"": 1.0}",411.6984986088597,220.6060639721617,18.73435409102311,6.399827924630203,355.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,100,3,1,795.5656868495709,0.1399758432789855,100,100,0,76,85,0.03571705399963321,"{""pop_mult"": 1.0}",381.4227743425177,221.687056484586,14.669679508681625,10.038303517213127,460.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,100,4,1,857.8209618628032,0.22918219142204466,100,100,0,90,88,0.047219884999776696,"{""pop_mult"": 1.0}",367.89209424472807,253.72043757988004,17.279680257379184,10.083899343180427,355.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,400,0,1,717.4669649465483,0.02806722550919538,400,400,0,305,342,0.25536839100004727,"{""pop_mult"": 1.0}",477.4334550324723,233.9646436171209,13.93832375793289,8.058902600581245,355.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,400,1,1,920.9223319167417,0.3196009195400904,400,400,0,280,221,0.2602099340001587,"{""pop_mult"": 1.0}",536.1870986110212,120.0,31.81796936094543,7.0203274793062835,355.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,400,2,1,728.0963296423597,0.04329817272439218,400,400,0,276,391,0.3081321399999979,"{""pop_mult"": 1.0}",537.1496717351276,214.4495586376853,12.759061689808146,9.426773753757793,355.0,rolled
11,6.0,140.0,697.879425726456,ga,raw,400,3,1,757.0498910607354,0.08478608646857011,400,400,0,306,351,0.2945648549998623,"{""pop_mult"": 1.0}",465.5795510120247,201.00861809988453,14.626651411971462,8.416446810936971,460.0,rolled
