method,space,budget,n_runs,n_contexts,n_seeds,feasibility_rate,gap_mean,gap_median,gap_p90,gap_p95,gap_max,gap_std,seedmean_mean,seedmean_sd,seedmean_min,seedmean_max,within_ctx_sd_mean,frac_gap_le_2pct,frac_gap_le_5pct,mean_evals,max_evals,mean_sizing_frac,mean_wall_s
de,reparam,4800,710,142,5,1.0,-0.0032349265336781723,-0.0010306836544993,0.011583060495151759,0.021302995808630005,0.1459846891714951,0.016405091968904356,-0.0032349265336781723,0.0008785475777074298,-0.0046630292017152165,-0.0023652683501284725,0.007304937044565927,0.9450704225352112,0.995774647887324,4800.0,4800,0.8042338615023474,1.9734313478183094
cmaes,reparam,25,710,142,5,0.9352112676056338,0.550348389621212,0.45462594265153977,1.0640181619116988,1.2730459317474092,2.1170892962417045,0.36582297195627284,0.5503509366674255,0.020378312309951453,0.526336272101499,0.5719478148249327,0.3240569870910387,0.0,0.004225352112676056,25.0,25,0.7834929577464789,0.029473780105637514
cmaes,reparam,50,710,142,5,0.9633802816901409,0.38856020018118614,0.31136460032115554,0.77114535794281,0.9504623339563567,1.6617367383356871,0.282024219067107,0.38839279743692645,0.03610523264260712,0.3518587020265279,0.4302765999951199,0.2514878328950876,0.005633802816901409,0.018309859154929577,50.0,50,0.7921971830985916,0.04168068954366491
cmaes,reparam,100,710,142,5,0.9788732394366197,0.22532870246227948,0.1684134472486216,0.4669176514889403,0.6068856187783415,1.3512613724458309,0.1920027996944514,0.22532032618811063,0.006324069953002951,0.21590112948805645,0.23255492682452478,0.1443332633726301,0.02535211267605634,0.08873239436619719,100.0,100,0.7980985915492957,0.06785159334366166
cmaes,reparam,400,710,142,5,0.9971830985915493,0.09052321821229774,0.07045184607450461,0.1579763552009932,0.2071386289632222,1.3227940429103882,0.10686529748717763,0.09052874094273486,0.006054828690991584,0.08224352810792257,0.09818092271768751,0.06087714340899678,0.12253521126760564,0.3380281690140845,400.0,400,0.8032359154929578,0.21104658777887947
cmaes,reparam,1600,710,142,5,1.0,0.037261435088532406,0.026167684287029598,0.08516212215996669,0.10194806896586049,0.4707632155144285,0.04479509232246227,0.037261435088532406,0.003276261465851408,0.033980423251026036,0.04271332611531843,0.02668525815305883,0.4422535211267606,0.6957746478873239,1600.0,1600,0.8035088028169015,0.761336219139448
cmaes,reparam,4800,710,142,5,1.0,0.01866553215781568,0.009028395624583949,0.06243339178463254,0.07538455050280454,0.2294900622775819,0.029854704601806836,0.01866553215781568,0.0011165086937457624,0.017385815815921128,0.019603360383940487,0.017731055464532776,0.6422535211267606,0.847887323943662,4800.0,4800,0.8000463615023474,2.1929831447802792
ms_nm,reparam,25,710,142,5,0.8887323943661972,0.9722438884873977,0.8388530996736949,1.8381912955170023,2.1803217286169847,3.5714472032495683,0.6108215756078834,0.9719550239502028,0.06340615752088943,0.901598479314237,1.0709249166941088,0.5605039264478748,0.0,0.004225352112676056,25.0,25,0.7711549295774648,0.011578812340852566
ms_nm,reparam,50,710,142,5,0.928169014084507,0.6686257264193014,0.5821496935549724,1.182556545338105,1.4953659703337259,2.7512912497526427,0.39818189207188925,0.6686035252439784,0.03971267142766006,0.6310464000631509,0.7258072905508853,0.3422822638372288,0.0014084507042253522,0.0028169014084507044,50.0,50,0.7793521126760565,0.02030789386337252
ms_nm,reparam,100,710,142,5,0.9633802816901409,0.4477089788220337,0.38357410286455507,0.8354586094049007,0.9918111578274722,1.765189912808898,0.27642563789620345,0.4477010054742722,0.0320104617804502,0.4116028734232607,0.48266818787012444,0.2469128150387169,0.0028169014084507044,0.009859154929577466,100.0,100,0.7836478873239436,0.0412328262056305
ms_nm,reparam,400,710,142,5,0.9901408450704225,0.22088183290885974,0.2049640991409527,0.36548208003009175,0.4249219772687444,1.4606284692039888,0.13766298630007434,0.22089984311255512,0.008293671536527884,0.2098622742736324,0.2326532540560753,0.10438098642356766,0.01267605633802817,0.04225352112676056,400.0,400,0.7845176056338029,0.16521474915634266
ms_nm,reparam,1600,710,142,5,1.0,0.11718921488026282,0.11340859267857635,0.19857480401404468,0.22641830122473924,0.4668471655195747,0.06600438913690504,0.11718921488026282,0.004599024546300399,0.10965937210965936,0.12085377305034488,0.05260550383011557,0.04366197183098591,0.15211267605633802,1600.0,1600,0.786037852112676,0.6539486700802827
ms_nm,reparam,4800,710,142,5,1.0,0.08542380475566586,0.0800701496939174,0.15810111222673315,0.18064883812049615,0.4079913979979608,0.057531360879046534,0.08542380475566587,0.005350674899651313,0.07663010781462076,0.09028599566923759,0.04458265901702231,0.1267605633802817,0.30704225352112674,4800.0,4800,0.7912658450704224,1.92877360270845
ms_slsqp,reparam,25,710,142,5,0.895774647887324,0.8716798608156114,0.7446285804186805,1.6824041853810041,1.9553301039210722,3.9525852146711062,0.5721345257004311,0.8715101933116405,0.039649220324880365,0.8313040825646167,0.933134705407144,0.5039303873402111,0.0,0.004225352112676056,25.0,25,0.7783661971830984,0.013664438266203345
ms_slsqp,reparam,50,710,142,5,0.928169014084507,0.5794359801515905,0.4982950867689464,1.082181881931428,1.3706363661007812,2.185997381758064,0.3802191773741222,0.5793449407322122,0.03112349091885677,0.5362967495694986,0.6173659914464656,0.3495872577841546,0.007042253521126761,0.009859154929577466,50.0,50,0.7900563380281691,0.02341284154224655
ms_slsqp,reparam,100,710,142,5,0.9732394366197183,0.3918902621099579,0.3379950233771929,0.7536457841750661,0.8901957598101183,1.9171612469137704,0.2563112017662225,0.3919578916091856,0.014447487748437746,0.37102218765109923,0.41053122864452546,0.21525791321370447,0.0028169014084507044,0.014084507042253521,100.0,100,0.7938309859154932,0.04485249390563626
ms_slsqp,reparam,400,710,142,5,0.995774647887324,0.18046185853561875,0.1618090988661846,0.30363800414517667,0.3612612711814254,1.1518899560155016,0.11582600922750182,0.18046434605831357,0.008186823494869887,0.17171290987764687,0.1904959725783778,0.08331775533803325,0.01267605633802817,0.07323943661971831,400.0,400,0.796419014084507,0.18065953957464806
ms_slsqp,reparam,1600,710,142,5,1.0,0.10297142389716513,0.09997848220346225,0.17100623673337315,0.19831228417305893,0.48192476645855,0.05816920933438427,0.10297142389716511,0.0036440366401777648,0.09823062934057378,0.1076776673477571,0.04440796578946862,0.05352112676056338,0.18591549295774648,1600.0,1600,0.7979744718309859,0.7220875969647904
ms_slsqp,reparam,4800,710,142,5,1.0,0.05178453823889606,0.043296281944590606,0.11091513980771933,0.13498819602654025,0.2993744583428044,0.043042711470196594,0.05178453823889606,0.0034075038698873003,0.048691623024854865,0.05730687600482267,0.03133029535316357,0.2704225352112676,0.5661971830985916,4800.0,4800,0.8067130281690139,1.9720854358915525
