context_idx,span_m,load_kNm,gt_economy,method,space,gen_budget,seed,mode,n_gen,n_repair,n_total,feasible,best_economy,gap
58,9.272727,129.090909,1876.6125693849333,ppo_corrected,policy,40,0,none,40,1,41,1,2649.739211561448,0.41197989120892964
59,9.272727,140.0,1975.8458780810136,ppo_corrected,policy,40,0,none,40,1,41,1,2736.91961898742,0.3851888193048634
60,10.090909,20.0,771.2799576046779,ppo_corrected,policy,40,0,none,40,1,41,1,1135.886370090392,0.4727290121968841
61,10.090909,30.909091,964.7090665866748,ppo_corrected,policy,40,0,none,40,1,41,1,1200.788767754349,0.24471595566419757
62,10.090909,41.818182,1147.2574547707825,ppo_corrected,policy,40,0,none,40,1,41,1,1656.09059537957,0.44352131990325594
63,10.090909,52.727273,1318.1429375417918,ppo_corrected,policy,40,0,none,40,1,41,1,2019.153522343268,0.5318168195846746
64,10.090909,63.636364,1473.4968374975142,ppo_corrected,policy,40,0,none,40,1,41,1,2143.533197326384,0.4547253463854146
65,10.090909,74.545455,1593.8205978972342,ppo_corrected,policy,40,0,none,40,1,41,1,2295.244850520501,0.4400898404429412
66,10.090909,85.454545,1744.078619322344,ppo_corrected,policy,40,0,none,40,1,41,1,2476.118311164691,0.4197286084080194
67,10.090909,96.363636,1930.113776773892,ppo_corrected,policy,40,0,none,40,1,41,1,2336.809742515226,0.21071087654796705
68,10.090909,107.272727,2067.605711285596,ppo_corrected,policy,40,0,none,40,1,41,1,2887.7899890988338,0.3966831167743601
69,10.090909,118.181818,2170.353625378734,ppo_corrected,policy,40,0,none,40,1,41,1,2783.8744601807653,0.282682429088011
70,10.090909,129.090909,2307.5736162550616,ppo_corrected,policy,40,0,none,40,1,41,1,3056.6600899955915,0.3246208348300563
71,10.090909,140.0,2443.406284429296,ppo_corrected,policy,40,0,none,40,1,41,1,3620.761172384944,0.4818498239357034
72,10.909091,20.0,939.0466900997784,ppo_corrected,policy,40,0,none,40,1,41,1,1230.9557650193822,0.31085682745826726
73,10.909091,30.909091,1197.1649157491154,ppo_corrected,policy,40,0,none,40,1,41,1,2015.982372152292,0.6839637928169728
74,10.909091,41.818182,1403.509472950396,ppo_corrected,policy,40,0,none,40,1,41,1,1704.706717619128,0.2146029296372105
75,10.909091,52.727273,1588.7457907355176,ppo_corrected,policy,40,0,none,40,1,41,1,2097.018711634061,0.3199208607584956
76,10.909091,63.636364,1789.9941201560932,ppo_corrected,policy,40,0,none,40,1,41,1,2771.3628301618924,0.5482524768965278
77,10.909091,74.545455,1942.2808212955651,ppo_corrected,policy,40,0,none,40,1,41,1,2640.62551282626,0.35954877578664246
78,10.909091,85.454545,2177.190622234541,ppo_corrected,policy,40,0,none,40,1,41,1,3124.982578169473,0.4353279617575121
79,10.909091,96.363636,2344.698716886334,ppo_corrected,policy,40,0,none,40,1,41,1,3202.407650206553,0.3658077377460345
80,10.909091,107.272727,2499.121791022924,ppo_corrected,policy,40,0,none,40,1,41,1,3332.791707472107,0.33358514956886154
81,10.909091,118.181818,2669.547168301596,ppo_corrected,policy,40,0,none,40,1,41,1,3398.782985635727,0.2731683582868032
82,10.909091,129.090909,2855.841135487434,ppo_corrected,policy,40,0,none,40,1,41,1,3559.251870363203,0.24630597484397931
83,10.909091,140.0,3091.557267278178,ppo_corrected,policy,40,0,none,40,1,41,1,4225.241193893367,0.3667031947343773
84,11.727273,20.0,1117.8784812198996,ppo_corrected,policy,40,0,none,40,1,41,1,2111.1590356592,0.8885407234562472
