arm,repair_mode,span_m,load_kNm,optimal,optimal_grade,optimal_type,achieved,gap,feasible,feasible_before,utilization,section_class,h,b,tf,tw,fy,section_type,grade_match,repaired,variant,scale,n_ec3_gen,n_ec3_repair,n_ec3,t_gen,t_repair,sec_per_design,method,seed,gap_mass,gap_co2
ga,none,9.272727272727272,63.63636363636363,1216.7126656588257,355,rolled,1267.3705110186709,0.0416350111161331,True,True,1.0009977490326445,2,564.1731038786037,223.27930089937377,15.593498389516505,8.691408324806806,355.0,rolled,1.0,False,original,,4800,1,4801,0.9574429988861084,0.0001325607299804,0.9575755596160888,ga,-1,0.2923476574505661,0.4727645212659122
ga,none,9.272727272727272,74.54545454545453,1356.4151141978043,355,rolled,1371.1435017840552,0.0108583186902641,True,True,1.0009995565330656,2,587.5301285365754,240.3171243235717,15.56820887731538,9.099074230019385,355.0,rolled,1.0,False,original,,4800,1,4801,0.949594259262085,0.0001347064971923,0.9497289657592772,ga,-1,0.28122059673477184,0.4823293598842029
ga,none,9.272727272727272,85.45454545454545,1422.5235716023028,355,rolled,1472.447827933746,0.0350955564660411,True,True,1.000999377317353,2,621.0888049394775,253.2477226574448,15.34384094610139,9.655436867169447,355.0,rolled,1.0,False,original,,4800,1,4801,0.9406335353851318,0.0002198219299316,0.9408533573150636,ga,-1,0.3094592910307503,0.4753731390248337
ga,none,9.272727272727272,96.36363636363636,1530.0841209322955,355,rolled,1584.5743005559775,0.0356125384730356,True,True,1.0009625850247872,2,665.2431605729998,256.28924182104,15.46816982967606,10.356844047873594,355.0,rolled,1.0,False,original,,4800,1,4801,0.9075655937194824,0.000133991241455,0.9076995849609376,ga,-1,0.2968514704692715,0.4902865891103305
ga,none,9.272727272727272,107.27272727272728,1647.0835657255905,355,rolled,1687.9923854842707,0.0248371246061572,True,True,1.0009999837337973,2,672.1693225043384,263.14583059040234,16.700620983021423,10.41832648696002,355.0,rolled,1.0,False,original,,4800,1,4801,1.371391534805298,0.0001759529113769,1.3715674877166748,ga,-1,0.3018975019517669,0.47823704728946925
ga,none,9.272727272727272,118.18181818181816,1794.0191544704012,355,rolled,1791.4137704507357,-0.0014522609823722,True,True,1.000999623335741,2,681.597374031433,268.5852468953783,17.855944405595316,10.526416774985275,355.0,rolled,1.0,False,original,,4800,1,4801,1.512953758239746,0.000166893005371,1.5131206512451172,ga,-1,0.3277126605549414,0.493109075607739
ga,none,9.272727272727272,129.0909090909091,1876.6125693849333,355,rolled,1864.4659213601024,-0.0064726455652015,True,True,1.0005550841451631,2,696.4241422033429,290.0005529999464,17.019337345003937,10.85123851249842,355.0,rolled,1.0,False,original,,4800,1,4801,1.5571234226226809,0.0001933574676513,1.557316780090332,ga,-1,0.29567461584219634,0.49715419964528107
ga,none,9.272727272727272,140.0,1975.8458780810136,355,rolled,1973.129695821673,-0.0013746933854873,True,True,1.0009996327867583,2,677.6080044977963,298.4824871111002,19.08393859302412,10.416477714726232,355.0,rolled,1.0,False,original,,4800,1,4801,1.1786761283874512,0.0001676082611083,1.1788437366485596,ga,-1,0.2989016389140504,0.5052582392098091
ga,none,10.09090909090909,20.0,771.2799576046779,355,rolled,771.1487620886519,-0.0001701010310619,True,True,1.000988036649349,2,367.3134562669133,192.16741459201725,11.493944373182456,6.0002139350844725,355.0,rolled,1.0,False,original,,4800,1,4801,1.0303337574005127,0.0001304149627685,1.0304641723632812,ga,-1,0.08541647020227838,0.21815204811856304
ga,none,10.09090909090909,30.909090909090907,964.7090665866748,355,rolled,986.2613485223304,0.0223407063146111,True,True,1.0009815613313822,2,405.41035180759,215.8598471886116,13.270920002585248,6.764416454714883,355.0,rolled,1.0,False,original,,4800,1,4801,0.980797529220581,0.0001394748687744,0.9809370040893556,ga,-1,0.14980150799744418,0.312372278663517
