costing,space,proposals,span_m,load_kNm,reference,achieved,gap
original,raw,400,10.09090909090909,140.0,2328.49511615869,2847.1449555607105,0.2227403595579085
original,raw,400,10.90909090909091,20.0,893.7291943214849,1180.7204862477888,0.3211166131192418
original,raw,400,10.90909090909091,30.909090909090907,1088.9504710209037,1625.8604711992723,0.49305272780221965
original,raw,400,10.90909090909091,41.81818181818181,1270.814818254924,1774.860307489102,0.3966317373654258
original,raw,400,10.90909090909091,52.72727272727273,1441.605296538102,1998.747823373462,0.3864736957982138
original,raw,400,10.90909090909091,63.63636363636363,1646.7666813117896,2034.471127840211,0.2354337447607222
original,raw,400,10.90909090909091,74.54545454545453,1797.093634182035,2495.2191224559847,0.38847474332727705
original,raw,400,10.90909090909091,85.45454545454545,2002.4625944633783,2720.602007732288,0.3586281288122424
original,raw,400,10.90909090909091,96.36363636363636,2197.559639317925,2869.807708050354,0.3059066323865869
original,raw,400,10.90909090909091,107.27272727272728,2388.297343467485,2500.2354632198185,0.04686942354916934
original,raw,400,10.90909090909091,118.18181818181816,2601.5036778796957,3488.0976641130355,0.34080058920229583
original,raw,400,10.90909090909091,129.0909090909091,2728.4009592725315,3482.5288916740465,0.2763992329787872
original,raw,400,10.90909090909091,140.0,2907.631199570768,3764.4730563637345,0.2946872550134474
original,raw,400,11.727272727272728,20.0,1061.0441516058863,1561.3656047308407,0.4715368840850964
original,raw,400,11.727272727272728,30.909090909090907,1290.0501267580532,1773.6288696833003,0.37485267657040544
original,raw,400,11.727272727272728,41.81818181818181,1482.922585855888,2197.75229035203,0.48204114720093005
original,raw,400,11.727272727272728,52.72727272727273,1747.8813489218207,2383.4752662466803,0.36363676385523824
original,raw,400,11.727272727272728,63.63636363636363,1979.0906999138213,2742.803234740995,0.38589061878792585
original,raw,400,11.727272727272728,74.54545454545453,2216.73184965606,2977.3311141118656,0.3431173980622948
