span_m,load_kNm,optimal_economy,optimal_grade,optimal_type,agent_economy,agent_grade,agent_type,agent_util,feasible,in_target_band,gap,gap_mass,gap_co2
7.636363636363637,129.0909090909091,1173.7978050697595,355,rolled,1535.9345805948335,500.0,rolled,1.0009909081868829,True,True,0.30851716876702795,0.16093471709705331,0.30248544129613764
7.636363636363637,140.0,1251.7374258469372,355,rolled,1625.412710549887,500.0,rolled,1.0009998844124324,True,True,0.2985252953111293,0.21405844186630674,0.32256868051101384
8.454545454545455,20.0,516.1523336674153,355,rolled,802.4528039081345,500.0,rolled,1.0009930075107891,True,True,0.5546821191458527,0.1393201888941786,0.26451268137342854
8.454545454545455,30.909090909090907,633.218032838701,355,rolled,951.045466932735,500.0,rolled,1.0009874334988818,True,True,0.5019241676823722,0.11980672891193844,0.2585235926123882
8.454545454545455,41.81818181818181,757.3789000305048,355,rolled,1084.4433368141413,500.0,rolled,1.00099819601337,True,True,0.43183727031537755,0.12123754089469212,0.2739889501853239
8.454545454545455,52.72727272727273,897.7427828478864,355,rolled,1192.1230878239633,500.0,rolled,1.0009874761713797,True,True,0.3279116363845575,0.11776942564865221,0.2636072084848659
8.454545454545455,63.63636363636363,969.5859503873623,355,rolled,1301.655814422797,500.0,rolled,1.0009878262704164,True,True,0.3424862580803366,0.1264597240008374,0.26616709210510825
8.454545454545455,74.54545454545453,1093.1775012217977,355,rolled,1417.4444993974262,500.0,rolled,1.0009868180169021,True,True,0.29662794725761293,0.12664113327167212,0.266116858337391
8.454545454545455,85.45454545454545,1181.2789978646645,355,rolled,1528.9876731344623,500.0,rolled,1.0009890155834351,True,True,0.2943493246712524,0.14162200553930052,0.2799875670735064
8.454545454545455,96.36363636363636,1257.923897819336,355,rolled,1643.0786458783086,500.0,rolled,1.000996366055788,True,True,0.3061828690325819,0.15196916181799972,0.2657841295294006
8.454545454545455,107.27272727272728,1345.9822136266182,460,rolled,1757.2032712270393,500.0,rolled,1.0009966147788292,True,True,0.30551745293307103,0.16935963881395968,0.3054030225111075
8.454545454545455,118.18181818181816,1418.3994702060834,355,rolled,1863.2161924807888,500.0,rolled,1.0009948406832951,True,True,0.31360468726773894,0.18042090414066644,0.27088071956380705
8.454545454545455,129.0909090909091,1503.943042662674,355,rolled,1956.0216408852295,500.0,rolled,1.0009961633636761,True,True,0.3005955580752363,0.18509252001844076,0.302437394426459
8.454545454545455,140.0,1589.050557323039,355,rolled,2061.95516250109,500.0,rolled,1.0009965933162734,True,True,0.29760198818011174,0.18064906578361664,0.311521047447774
9.272727272727272,20.0,633.3700898588271,355,rolled,982.7478437326623,500.0,rolled,1.0009902213512833,True,True,0.5516170710740518,0.13498055568357606,0.2510553765704276
9.272727272727272,30.909090909090907,801.8071464602682,355,rolled,1188.233544849107,500.0,rolled,1.0009903396817514,True,True,0.4819443180255905,0.1498596318756753,0.2680821880038038
9.272727272727272,41.81818181818181,962.5021253931346,355,rolled,1382.2638277510296,500.0,rolled,1.0009954022611394,True,True,0.4361150913681806,0.16077638050308407,0.30405639138301876
9.272727272727272,52.72727272727273,1070.6846994207378,355,rolled,1486.3895680385228,500.0,rolled,1.000999611322979,True,True,0.3882607726090508,0.12457001963765013,0.2549214923090008
9.272727272727272,63.63636363636363,1216.7126656588257,355,rolled,1644.1549205178997,500.0,rolled,1.000994235089343,True,True,0.3513091191728677,0.14296218454261192,0.2678173253589796
9.272727272727272,74.54545454545453,1356.4151141978043,355,rolled,1778.8651832931778,500.0,rolled,1.0009959084969813,True,True,0.31144600548425333,0.13317608407427864,0.2761128030717546
9.272727272727272,85.45454545454545,1422.5235716023028,355,rolled,1908.1152959151993,500.0,rolled,1.0009928264414076,True,True,0.34135935179333127,0.15683138296129415,0.26867622031070865
9.272727272727272,96.36363636363636,1530.0841209322955,355,rolled,2151.476325870102,500.0,rolled,1.0009948543050897,True,True,0.4061163673531792,0.2004043637086662,0.34269690232326777
9.272727272727272,107.27272727272728,1647.0835657255905,355,rolled,2184.5923866876788,500.0,rolled,1.0009952698862254,True,True,0.3263397390072915,0.1486562749449114,0.26948696221563695
9.272727272727272,118.18181818181816,1794.0191544704012,355,rolled,2320.636838173443,500.0,rolled,1.0009895520774605,True,True,0.2935407252429813,0.17254287875896143,0.28347389279237767
9.272727272727272,129.0909090909091,1876.6125693849333,355,rolled,2441.2591303805075,500.0,rolled,1.0009956892994727,True,True,0.30088605938552315,0.15656153477385004,0.300798998218067
9.272727272727272,140.0,1975.8458780810136,355,rolled,2674.3448149967267,500.0,rolled,1.000992524403166,True,True,0.35351893822513686,0.20019385022599573,0.35380780120268046
10.09090909090909,20.0,771.2799576046779,355,rolled,1204.9434765499075,500.0,rolled,1.000999372711492,True,True,0.5622647323703766,0.15621414843010112,0.2630316653975087
