reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals,region
GA raw G=40 + repair (OOD),mlp,208,3,scale,0.1256801325721507,0.7741669040822966,-0.6484867715101459,-0.747209775710922,-0.548864485536367,1.0,33.06410256410256,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),mlp,208,3,scale+thin,0.05566879394189194,0.5452852568727429,-0.48961646293085065,-0.5827403755060766,-0.39546980538621757,1.0,85.88461538461539,110.45384615384616,span_extrapolation
GA raw G=40 + repair (OOD),poly3,208,1,none,0.15920132653769892,0.7516945815251027,-0.5924932549874038,-0.7159884594519154,-0.47214068801001796,1.0,7.115384615384615,40.0,span_extrapolation
GA raw G=40 + repair (OOD),poly3,208,1,scale,0.14016728533430736,0.750807168020544,-0.6106398826862365,-0.7117315797957903,-0.5071563920274865,1.0,22.71794871794872,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),poly3,208,1,scale+thin,0.058839621839244606,0.508212617241143,-0.4493729954018984,-0.5388242920061181,-0.3612538937788922,1.0,71.6923076923077,110.45384615384616,span_extrapolation
GA raw G=40 + repair (OOD),poly3,208,2,none,0.153804994841953,0.8071386804102988,-0.6533336855683458,-0.784726730152906,-0.5284004640941795,1.0,12.628205128205128,40.0,span_extrapolation
GA raw G=40 + repair (OOD),poly3,208,2,scale,0.13823866245815317,0.7741669040822966,-0.6359282416241433,-0.7405671062820033,-0.5339403966355621,1.0,29.346153846153847,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),poly3,208,2,scale+thin,0.05611228212670754,0.5452852568727429,-0.4891729747460351,-0.5825256435180991,-0.39758633905733415,1.0,83.03846153846153,110.45384615384616,span_extrapolation
GA raw G=40 + repair (OOD),poly3,208,3,none,0.153804994841953,0.8071386804102988,-0.6533336855683458,-0.7808842090982896,-0.528620836970426,1.0,17.76923076923077,40.0,span_extrapolation
GA raw G=40 + repair (OOD),poly3,208,3,scale,0.15260887132673373,0.7741669040822966,-0.6215580327555629,-0.7179105912207112,-0.5227359747937274,1.0,34.41025641025641,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),poly3,208,3,scale+thin,0.07048249099528811,0.5452852568727429,-0.4748027658774545,-0.567354897027221,-0.3848347436890474,1.0,88.01282051282051,110.45384615384616,span_extrapolation
