reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals,region
GA raw G=40 + repair (OOD),mlp,208,2,none,0.031553982487577376,0.6231013496985447,-0.5915473672109673,-0.6725938139626212,-0.5180800210143842,1.0,12.843971631205674,40.0,load_extrapolation
GA raw G=40 + repair (OOD),mlp,208,2,scale,0.03474982401077922,0.6215097469605797,-0.5867599229498004,-0.6670257589668354,-0.5082150439550752,1.0,29.77304964539007,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),mlp,208,2,scale+thin,0.025489716348639228,0.3510711177647715,-0.3255814014161323,-0.391345634191739,-0.2615928181538763,1.0,77.82978723404256,111.28085106382979,load_extrapolation
GA raw G=40 + repair (OOD),mlp,208,3,none,0.05936218972040517,0.6268723669614448,-0.5675101772410397,-0.6450519444004779,-0.4887311704822069,0.9736842105263158,17.98581560283688,40.0,load_extrapolation
GA raw G=40 + repair (OOD),mlp,208,3,scale,0.062018055750413366,0.6079562990037647,-0.545938243253351,-0.6231793382224771,-0.47218955699438087,1.0,35.283687943262414,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),mlp,208,3,scale+thin,0.05536496922073202,0.3461854983788549,-0.2908205291581229,-0.34922789796493303,-0.2371902701831452,1.0,84.99290780141844,111.28085106382979,load_extrapolation
GA raw G=40 + repair (OOD),poly3,208,1,none,0.17507615173124322,0.6231013496985447,-0.44802519796730156,-0.5378964700253882,-0.3660785998555791,0.9722222222222222,7.23404255319149,40.0,load_extrapolation
GA raw G=40 + repair (OOD),poly3,208,1,scale,0.1351961627603389,0.6301642247626316,-0.4949680620022926,-0.5780750300703785,-0.41193637352172685,1.0,24.28368794326241,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),poly3,208,1,scale+thin,0.0703076419508261,0.35384199078726386,-0.28353434883643774,-0.35505964627754455,-0.21765153294803222,0.95,72.06382978723404,111.28085106382979,load_extrapolation
GA raw G=40 + repair (OOD),poly3,208,2,none,0.15184997233518346,0.6231013496985447,-0.47125137736336126,-0.5561901450146227,-0.38783708926800264,0.9722222222222222,14.23404255319149,40.0,load_extrapolation
GA raw G=40 + repair (OOD),poly3,208,2,scale,0.13523488379141313,0.6215097469605797,-0.4862748631691665,-0.5728363888710709,-0.40275212152792167,1.0,31.24822695035461,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),poly3,208,2,scale+thin,0.07489600358169048,0.3510711177647715,-0.27617511418308094,-0.35155041904088535,-0.20698003928925957,0.926829268292683,77.93617021276596,111.28085106382979,load_extrapolation
GA raw G=40 + repair (OOD),poly3,208,3,none,0.15707470198873077,0.6344514620801797,-0.4773767600914488,-0.5662618238679825,-0.3946306230552775,0.972972972972973,20.368794326241133,40.0,load_extrapolation
GA raw G=40 + repair (OOD),poly3,208,3,scale,0.1508340264539084,0.6079562990037647,-0.4571222725498561,-0.5323440202273766,-0.38536824098813943,1.0,37.794326241134755,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),poly3,208,3,scale+thin,0.10465432670549342,0.3461854983788549,-0.24153117167336147,-0.2996853256116854,-0.18386048110581324,0.9302325581395349,85.81560283687944,111.28085106382979,load_extrapolation
