k,label_frac,n_labels,span_m,load_kNm,feasible,reference,achieved,gap,util,section_class,h,b,tf,tw,fy,section_type,grade_match,n_ec3
1,1.0,142,10.09090909090909,20.0,1,742.9343178494156,751.2883038164993,0.011244582147269755,1.0009920823832297,3.0,412.27682750586945,208.2671837783204,9.49958703827629,6.0,355.0,rolled,1,24
1,1.0,142,10.09090909090909,30.909090909090907,1,915.5475138288588,916.0627172282407,0.0005627271021984015,1.0009904637365672,3.0,469.43393587335277,241.75734214329322,10.360934298488957,6.0,355.0,rolled,1,24
1,1.0,142,10.09090909090909,41.81818181818181,1,1059.829316571149,1068.693122236495,0.00836342751304775,1.0009979947303629,3.0,518.3113320607338,260.94401806708606,11.522787667742227,6.0,355.0,rolled,1,24
1,1.0,142,10.09090909090909,52.72727272727273,1,1213.1595349712586,1212.193167113684,-0.0007965711266469944,1.0009979533876794,3.0,551.2751394442015,281.72473698369015,12.483550088396619,6.0,355.0,rolled,1,24
1,1.0,142,10.09090909090909,63.63636363636363,1,1357.496004947102,1355.1806297173719,-0.0017056221316985587,1.0009955269836468,3.0,674.8535920190435,278.3330098146639,12.972790006967752,6.429841053220605,355.0,rolled,1,24
1,1.0,142,10.09090909090909,74.54545454545453,1,1486.8770563048004,1487.7131338755316,0.0005623044401592558,1.0009923740895526,3.0,719.8618094044002,287.60965110054303,13.490481588423362,6.852821100094037,355.0,rolled,1,24
1,1.0,142,10.09090909090909,85.45454545454545,1,1614.031417022214,1648.1735779104329,0.021153343440618366,1.0009954346955294,3.0,566.1375027840276,288.67117994510596,15.86434856135953,6.0,460.0,rolled,0,24
1,1.0,142,10.09090909090909,96.36363636363636,1,1771.028921502606,1797.9746075295698,0.015214706942279665,1.0009978085840912,3.0,726.4387462150569,288.3141703791092,17.960785778620718,6.893450841665613,355.0,rolled,0,24
1,1.0,142,10.09090909090909,107.27272727272728,1,1916.4589042949708,1959.2291859954457,0.02231734873344937,1.0009973376998582,3.0,716.8449778944672,290.56432827502147,20.515145807510134,6.73346940421159,355.0,rolled,1,24
1,1.0,142,10.09090909090909,118.18181818181816,1,2076.30196798726,2095.775130805436,0.009378772027583748,1.0009993138456892,3.0,730.1462996519899,292.0733450461403,22.20948526664286,6.776673290158599,355.0,rolled,1,24
1,1.0,142,10.09090909090909,129.0909090909091,1,2210.304923798717,2222.122560571346,0.005346609259829549,1.000996826135309,3.0,732.6665575337527,292.99317016260596,18.891317233157338,8.061314977836165,460.0,rolled,0,24
1,1.0,142,10.09090909090909,140.0,1,2328.49511615869,2402.6740419616103,0.03185702443099525,1.0009989304934126,3.0,750.0,300.0,24.826105123934443,7.575069906942812,355.0,rolled,0,24
1,1.0,142,10.90909090909091,20.0,1,893.7291943214849,902.0059209297068,0.009260888713057636,1.0009989038263643,3.0,423.91900080916724,222.1453046311528,10.343634951226672,6.0,355.0,rolled,1,24
1,1.0,142,10.90909090909091,30.909090909090907,1,1088.9504710209037,1097.8092883234365,0.00813518845740302,1.000996853618605,3.0,491.1007735360244,254.50210413331436,11.249690757946983,6.0,355.0,rolled,1,24
1,1.0,142,10.90909090909091,41.81818181818181,1,1270.814818254924,1262.4786447899705,-0.006559707476814447,1.0009912143211763,3.0,551.4949527692787,279.23695260468133,11.911684920681703,6.0,355.0,rolled,1,24
1,1.0,142,10.90909090909091,52.72727272727273,1,1441.605296538102,1486.1282245456148,0.030884270552023363,1.0009961394505782,3.0,566.3152982385869,284.1725175215373,14.666875015063994,6.0,355.0,rolled,1,24
1,1.0,142,10.90909090909091,63.63636363636363,1,1646.7666813117896,1664.2190437500444,0.010597956976122758,1.0009908231860232,3.0,556.9949056823924,281.8782643658715,14.875360160022241,6.0,460.0,rolled,1,24
1,1.0,142,10.90909090909091,74.54545454545453,1,1797.093634182035,1849.2996086078242,0.029050225003746766,1.000997818855786,3.0,720.6104772807091,285.6915783494257,17.028619889335264,6.776285022536801,355.0,rolled,0,24
1,1.0,142,10.90909090909091,85.45454545454545,1,2002.4625944633783,2043.6129441848004,0.020549871860377822,1.0009997446575947,3.0,723.2530117034912,288.16105010191677,19.57016475163427,6.745407024901748,355.0,rolled,1,24
1,1.0,142,10.90909090909091,96.36363636363636,1,2197.559639317925,2241.6479329589647,0.020062387774251178,1.0009972320531981,3.0,726.6082318716589,288.84112019973156,22.221854890020502,6.737816756339099,355.0,rolled,1,24
1,1.0,142,10.90909090909091,107.27272727272728,1,2388.297343467485,2455.887441217608,0.028300537173479023,1.0009923613708396,3.0,724.772002937649,285.12466044319774,25.666619394201202,6.627559560177031,355.0,rolled,1,24
1,1.0,142,10.90909090909091,118.18181818181816,1,2601.5036778796957,2594.525455044592,-0.002682380538009177,1.0009961793873217,3.0,719.7148063775843,292.5085157044681,22.031099252076935,7.57375900516413,460.0,rolled,0,24
1,1.0,142,10.90909090909091,129.0909090909091,1,2728.4009592725315,2775.663475092715,0.017322423106310936,1.000996589917164,3.0,724.150336032553,291.4090811117658,24.268869218577624,7.576152191860449,460.0,rolled,1,24
1,1.0,142,10.90909090909091,140.0,1,2907.631199570768,2922.250606648202,0.005027944080250757,1.0009999361426583,3.0,750.0,300.0,24.10700098317905,8.287403805629012,460.0,rolled,1,24
1,1.0,142,11.727272727272728,20.0,1,1061.0441516058863,1042.1678288245341,-0.017790327341970613,1.0009917470845549,3.0,464.3640689485708,236.03203817021534,10.33197248855025,6.0,355.0,rolled,1,24
1,1.0,142,11.727272727272728,30.909090909090907,1,1290.0501267580532,1273.9240761029414,-0.012500328724153742,1.0009971757897635,3.0,529.8993673593026,269.140970078636,11.470650267765,6.0,355.0,rolled,1,24
1,1.0,142,11.727272727272728,41.81818181818181,1,1482.922585855888,1530.2612078253794,0.03192251734581908,1.0009995685442363,3.0,561.0090519906698,283.9547378319772,13.85946270652671,6.0,355.0,rolled,1,24
1,1.0,142,11.727272727272728,52.72727272727273,1,1747.8813489218207,1770.5196737932815,0.012951865917801175,1.0009957782411898,3.0,566.6100113732201,285.1889477791705,14.161191934175989,6.228607771810775,460.0,rolled,0,24
1,1.0,142,11.727272727272728,63.63636363636363,1,1979.0906999138213,2031.1451171180481,0.026302188781188063,1.0009938427670613,3.0,707.619812400739,284.9510846560723,17.968120678343443,6.631441259328366,355.0,rolled,0,24
1,1.0,142,11.727272727272728,74.54545454545453,1,2216.73184965606,2275.546573688052,0.026532178008412455,1.000996496320858,3.0,720.789621324143,287.7425661624118,20.608631782546222,6.772582786589627,355.0,rolled,1,24
1,1.0,142,11.727272727272728,85.45454545454545,1,2462.677694524864,2520.3654553306324,0.023424811510666776,1.000994774377261,3.0,723.8894897901743,289.41997059560384,23.674809758680286,6.6952975735552505,355.0,rolled,1,24
1,1.0,142,11.727272727272728,96.36363636363636,1,2703.5807115927173,2767.7287618237315,0.023727070531296857,1.0009920251788602,3.0,721.5472773678077,288.2905289437018,22.035695940031037,7.620006025581898,460.0,rolled,0,24
